,0,1,2,3,4,5,6,7,8,9,10,11
0,0.008029046,0.000476169,0.005240815,0.003219366,0.005234777,0.000263987,0.000279642,4.73E-05,0.007086852,0.004378786,0.009555488,0.000944474
1,0.016828651,0.001467224,0.010728482,0.006561912,0.010621043,0.000864199,0.000858813,0.000177294,0.014532392,0.00893287,0.019399885,0.002854431
2,0.026385846,0.003222602,0.016461456,0.010028518,0.016157238,0.001986159,0.001864415,0.000459449,0.02233392,0.013663501,0.029529876,0.006111378
3,0.036684069,0.006015569,0.022437902,0.013620004,0.02184173,0.003831922,0.00341877,0.000986554,0.03048824,0.018571829,0.039941997,0.011072797
4,0.047703612,0.010118668,0.028655705,0.01733713,0.027672815,0.006595939,0.005624242,0.001868048,0.038991693,0.023658913,0.050632635,0.018027992
5,0.059422063,0.015778647,0.03511249,0.021180596,0.033648725,0.010441871,0.008551894,0.003219253,0.047840189,0.028925715,0.061598048,0.02716759
6,0.071814748,0.023195056,0.041805636,0.025151043,0.03976763,0.015485092,0.012235799,0.005148645,0.05702923,0.034373102,0.072834369,0.038570366
7,0.084855136,0.032505366,0.048732291,0.029249055,0.046027645,0.02178339,0.016672978,0.007745973,0.066553946,0.04000185,0.084337616,0.052206311
8,0.098515237,0.043777793,0.055889391,0.033475154,0.052426831,0.029336052,0.021827761,0.01107339,0.076409122,0.04581264,0.096103706,0.067951891
9,0.112765969,0.057011501,0.063273667,0.037829805,0.058963201,0.038089786,0.027638884,0.015160796,0.086589223,0.051806061,0.10812846,0.085612313
10,0.127577491,0.072142812,0.070881673,0.042313416,0.065634725,0.047949116,0.03402767,0.020005428,0.097088431,0.057982611,0.120407615,0.104946021
11,0.142919519,0.089055548,0.078709787,0.046926336,0.072439332,0.058788803,0.040905958,0.025575004,0.107900664,0.064342699,0.13293683,0.125687816
12,0.146587712,0.089798641,0.079801223,0.047581196,0.073139513,0.063833439,0.048829922,0.025590787,0.109439507,0.065266363,0.134247083,0.138707051
13,0.146840213,0.094593175,0.080923353,0.048254591,0.073853361,0.069825093,0.060561368,0.028210392,0.111022878,0.066216932,0.135583421,0.154735119
14,0.147093586,0.099928566,0.082077491,0.048947321,0.074581281,0.077058062,0.061209228,0.031427471,0.112652738,0.067195599,0.136946631,0.174951338
15,0.147347835,0.105901805,0.083265026,0.049660229,0.075323694,0.085962674,0.061871098,0.035472739,0.114331165,0.068203629,0.138337533,0.177767144
16,0.158883192,0.112634544,0.084487429,0.050394211,0.076081035,0.097194156,0.062547439,0.04071325,0.116060362,0.069242363,0.139756977,0.180675073
17,0.161461172,0.120281476,0.085746259,0.051150216,0.07685376,0.098758535,0.06323873,0.043559271,0.117842669,0.070313226,0.141205853,0.18367972
18,0.164124192,0.129042359,0.087043169,0.051929248,0.077642343,0.100374097,0.063945473,0.046833094,0.119680571,0.071417733,0.142685085,0.186785993
19,0.166876528,0.139179724,0.088379912,0.052732378,0.078447277,0.102043395,0.064668191,0.050639016,0.12157671,0.072557493,0.144195637,0.189999135
20,0.16972275,0.151045632,0.089758353,0.05356074,0.079269076,0.103769155,0.065407432,0.055118235,0.123533898,0.073734222,0.145738514,0.193324759
21,0.172667748,0.165123394,0.091180474,0.054415542,0.080108275,0.105554292,0.066163769,0.060466757,0.125555132,0.074949749,0.147314766,0.196768877
22,0.175716751,0.182095023,0.092648384,0.055298071,0.080965432,0.107401922,0.066937803,0.061020711,0.127643609,0.076206023,0.148925486,0.200337935
23,0.178875371,0.183048689,0.094164331,0.056209699,0.081841131,0.109315388,0.067730162,0.061001407,0.12980274,0.07750513,0.150571819,0.204038859
24,0.182149625,0.229212662,0.095730713,0.057151888,0.08273598,0.111298271,0.068541504,0.085298005,0.132036172,0.078849298,0.152254959,0.207879093
25,0.185545983,0.263274154,0.097350088,0.058126201,0.083650614,0.113354417,0.06937252,0.098825943,0.134347809,0.080240912,0.153976153,0.211866655
26,0.189071404,0.309225765,0.099025192,0.05913431,0.084585696,0.115487966,0.070223934,0.117453642,0.13674183,0.08168253,0.155736707,0.216010189
27,0.213399245,0.347753689,0.110425779,0.066002589,0.090666766,0.13019059,0.075806184,0.119174956,0.139222721,0.083176896,0.157537987,0.220319029
28,0.218075887,0.356031669,0.112586083,0.067305479,0.091766316,0.133012873,0.076824002,0.122982778,0.141795295,0.084726959,0.159381422,0.224803267
29,0.222962099,0.362320417,0.1148326,0.068660842,0.092892863,0.135960231,0.077869522,0.126283384,0.144464732,0.086335893,0.161268511,0.229473836
